"INGREDIENT_ID","INGREDIENT_DATA_CATEGORY","INGREDIENT_NAME","INGREDIENT_CATEGORY","INGREDIENT_DESC","CALORIE","CARB","FAT","PROTEIN"
A0351201,樣品基本資料,油麵條：油麵,穀物類,"生,乾麵條,混合均勻打碎(麵粉,鹽,水,純鹼,色素等)",3.61,0.76,0.01,0.11
A0351301,樣品基本資料,紅蘿蔔麵,穀物類,"生,乾麵條,數包混合均勻打碎(小麥粉,紅蘿蔔,澱粉等)",3.52,0.73,0.01,0.12
A0351401,樣品基本資料,通心麵,穀物類,"生,乾麵條,混合均勻打碎(蛋,麵粉等)",3.59,0.72,0.01,0.13
A0351501,樣品基本資料,菠菜條,穀物類,"生,乾麵條,混合均勻打碎(小麥粉,菠菜,澱粉等)",3.56,0.74,0.01,0.11
A0351601,樣品基本資料,鍋燒意麵,穀物類,"生,乾麵條,混合均勻打碎(麵粉,雞蛋,沙拉油等)",4.79,0.58,0.22,0.1
A0351701,樣品基本資料,雞蛋麵,穀物類,"生,乾麵條,混合均勻打碎(蛋白質,澱粉等)",3.58,0.74,0.0,0.12
A0351801,樣品基本資料,刀削麵,穀物類,"生,濕麵條,混合均勻打碎(小麥粉等)",2.67,0.56,0.0,0.08
A0351901,樣品基本資料,拉麵,穀物類,"生,濕麵條,混合均勻打碎(麵粉,鹽,小麥粉等)",2.92,0.62,0.0,0.09
A0352001,樣品基本資料,意麵,穀物類,"生,濕麵條,混合均勻打碎(高筋麵粉,雞蛋,維生素B2等)",2.9,0.6,0.01,0.1
A0352101,樣品基本資料,衛生油麵,穀物類,"熟,濕麵條,混合均勻打碎(麵粉,食油,鹼粉等)",1.63,0.31,0.01,0.05
A0352201,樣品基本資料,金門黃麵,穀物類,"熟,濕麵條,混合均勻打碎",1.58,0.31,0.0,0.06
A0352301,樣品基本資料,冷凍烏龍麵,穀物類,"熟,濕麵條,冷凍製品,混合均勻打碎(小麥粉,澱粉,鹽等)",1.29,0.28,0.0,0.03
A0352401,樣品基本資料,鍋燒麵,穀物類,"熟,濕麵條,混合均勻打碎",1.2,0.24,0.0,0.04
A0352501,樣品基本資料,長麵線：壽麵線,穀物類,"生,混合均勻打碎",3.1,0.64,0.01,0.1
A0352601,樣品基本資料,蚵仔麵線,穀物類,"生,混合均勻打碎(麵粉,鹽等)",3.07,0.62,0.01,0.11
A0352701,樣品基本資料,麵線,穀物類,"生,混合均勻磨碎(麵粉,鹽,水,澱粉等)",3.5,0.72,0.01,0.11
A0352801,樣品基本資料,雞絲麵,穀物類,"生,不含調味包,混合均勻打碎",4.63,0.55,0.22,0.09
A0355101,樣品基本資料,麵筋,穀物類,"生,油炸過,混合均勻打碎",6.43,0.0,0.53,0.42
A0355201,樣品基本資料,麵腸,穀物類,"生,混合均勻打碎",1.38,0.09,0.01,0.2
A0400101,樣品基本資料,白玉米,穀物類,"生鮮,取玉米粒,混合均均打碎",0.66,0.11,0.0,0.03
A0400201,樣品基本資料,紫玉米,穀物類,"生鮮,取玉米粒, 混合均勻打碎",1.68,0.34,0.01,0.04
A0400301,樣品基本資料,"甜玉米：玉米,黃玉米",穀物類,"生鮮,取玉米粒,混合均勻打碎",1.07,0.17,0.02,0.03
A0400401,樣品基本資料,"雙色水果玉米：玉米,黃玉米",穀物類,"生鮮,取玉米粒,混合均勻打碎(黃白雙色品種)",1.05,0.17,0.02,0.03
A0400501,樣品基本資料,糯玉米,穀物類,"生鮮,每根均混有紫皮與黃皮,取玉米粒混合均勻打碎,購買時已去部分外葉",1.72,0.33,0.01,0.04
A0400601,樣品基本資料,冷凍玉米粒,穀物類,"熟,冷凍製品,混合均勻打碎",1.74,0.22,0.08,0.03
A0400701,樣品基本資料,玉米筍：番麥筍,穀物類,"生鮮,混合均勻打碎",0.31,0.05,0.0,0.02
A0410101,樣品基本資料,乾玉米粒,穀物類,"生,乾貨,混合均勻磨碎",3.73,0.72,0.03,0.1
A0410201,樣品基本資料,"玉米胚芽：玉米仁,珍珠米",穀物類,"生,混合均勻打碎",3.66,0.8,0.0,0.07
A0420101,樣品基本資料,玉米粉,穀物類,"生,混合均勻",3.69,0.88,0.0,0.0
A0450101,樣品基本資料,玉米粒罐頭,穀物類,"熟,混合均勻打碎(甜玉米仁,水,鹽,糖等)",0.9,0.16,0.01,0.02
A0450201,樣品基本資料,玉米醬罐頭,穀物類,"熟,混合均勻打碎(甜玉米.水.澱粉.鹽等)",0.66,0.14,0.0,0.01
A05001,樣品平均值,"秈米平均值：在來米,長米",穀物類,"生,混合多品種",3.57,0.77,0.0,0.07
A0500101,樣品基本資料,"秈米(台中在來2號)：在來米,長米",穀物類,"生,白秈米,混合均勻磨碎",3.55,0.76,0.01,0.08
A0500102,樣品基本資料,"秈米(台中秈10號)：在來米,長米",穀物類,"生,白秈米,混合均勻磨碎",3.58,0.78,0.0,0.07
A05002,樣品平均值,"粳米平均值：蓬萊米,圓米",穀物類,"生,混合多品種",3.54,0.77,0.0,0.07
A0500201,樣品基本資料,"粳米(台中189號)：蓬萊米,圓米",穀物類,"生,白粳米,混合均勻磨碎",3.56,0.78,0.0,0.07
A0500202,樣品基本資料,"粳米(台南11號)：蓬萊米,圓米",穀物類,"生,白粳米,混合均勻磨碎",3.48,0.77,0.0,0.06
A0500203,樣品基本資料,"粳米(台粳2號)：蓬萊米,圓米",穀物類,"生,白粳米,混合均勻磨碎",3.57,0.78,0.0,0.07
A0500204,樣品基本資料,"粳米(台粳8號)：蓬萊米,圓米",穀物類,"生,白粳米,混合均勻磨碎",3.55,0.78,0.0,0.06
A0500205,樣品基本資料,"粳米(台粳9號)：蓬萊米,圓米",穀物類,"生,白粳米,混合均勻磨碎",3.53,0.78,0.0,0.06
A0500206,樣品基本資料,"粳米(台農71號)：蓬萊米,圓米,益全香米",穀物類,"生,白粳米,混合均勻磨碎",3.57,0.77,0.0,0.07
A0500207,樣品基本資料,"粳米(高雄139號)：蓬萊米,圓米",穀物類,"生,白粳米,混合均勻磨碎",3.57,0.78,0.01,0.06
A0500208,樣品基本資料,"粳米(高雄142號)：蓬萊米,圓米",穀物類,"生,白粳米,混合均勻磨碎",3.53,0.77,0.0,0.07
A0500209,樣品基本資料,粳米(高雄145號),穀物類,"生,白粳米,混合均勻磨碎",3.64,0.8,0.01,0.06
A0500301,樣品基本資料,"越光米：蓬萊米,圓米",穀物類,"生,白粳米,混合均勻磨碎",3.4,0.73,0.01,0.07
A0500401,樣品基本資料,白秈糯米(台中糯70號秈米)：長糯米,穀物類,"生,混合均勻磨碎",3.61,0.78,0.0,0.07
A05005,樣品平均值,白粳糯米平均值：圓糯米,穀物類,"生,混合均勻磨碎",3.58,0.77,0.0,0.08
A0500501,樣品基本資料,白粳糯米(台中189號粳米)：圓糯米,穀物類,"生,混合均勻磨碎",3.59,0.78,0.0,0.08
A0500502,樣品基本資料,白粳糯米(台粳糯1號粳米)：圓糯米,穀物類,"生,混合均勻磨碎",3.58,0.76,0.01,0.08
A0500601,樣品基本資料,野生紅米,穀物類,"生,野生栽植,混合均勻磨碎",3.6,0.74,0.02,0.07
A0500701,樣品基本資料,紅糯米,穀物類,"生,混合均勻磨碎",3.62,0.72,0.02,0.09
A0500801,樣品基本資料,"黑秈糯米：黑糯米,紫糯米,紫米,貢米,長生米",穀物類,"生,混合均勻磨碎",3.57,0.7,0.03,0.1
A0500901,樣品基本資料,胚芽秈米(台中秈10號),穀物類,"生,混合均勻磨碎",3.63,0.76,0.02,0.08
A05010,樣品平均值,胚芽粳米平均值,穀物類,"生,混合均勻磨碎",3.62,0.76,0.01,0.08
A0501001,樣品基本資料,胚芽粳米(台粳10號）,穀物類,"生,混合均勻磨碎",3.6,0.77,0.01,0.07
A0501002,樣品基本資料,胚芽粳米(台粳9號),穀物類,"生,混合均勻磨碎",3.63,0.76,0.01,0.09
A05011,樣品平均值,發芽粳米平均值：發芽糙米,穀物類,"生,混合均勻磨碎",3.55,0.74,0.02,0.07
A0501103,樣品基本資料,"發芽粳米(台粳71號)：發芽糙米,益全香米發芽米",穀物類,"生,混合均勻磨碎",3.57,0.73,0.02,0.07
A0501104,樣品基本資料,發芽粳米(台粳9號）：發芽糙米,穀物類,"生,混合均勻磨碎",3.53,0.74,0.01,0.08
A0501201,樣品基本資料,糙秈米：糙米,穀物類,"生,混合均勻磨碎",3.59,0.73,0.03,0.07
A05013,樣品平均值,糙粳米平均值：糙米,穀物類,"生,混合均勻磨碎",3.62,0.75,0.02,0.08
A0501301,樣品基本資料,糙粳米(台粳71號)：益全香米糙米,穀物類,"生,混合均勻磨碎",3.6,0.73,0.02,0.09
A0501302,樣品基本資料,糙粳米(台粳9號)：糙米,穀物類,"生,混合均勻磨碎",3.64,0.76,0.02,0.07
A0510101,樣品基本資料,加鈣米,穀物類,"生,含碳酸鈣之精選粳米,混合均勻磨碎",3.55,0.77,0.0,0.07
A0510201,樣品基本資料,高纖米：高纖蓬萊米,穀物類,"生,高纖粳米,混合均勻磨碎",3.63,0.75,0.02,0.08
A0510301,樣品基本資料,五穀米,穀物類,"生,混合均勻磨碎(糙米,薏仁,蕎麥,小米,黑糯米,麥片,紅扁豆,紅薏仁等)",3.58,0.72,0.02,0.08
A0510401,樣品基本資料,米胚芽,穀物類,"生,混合均勻磨碎",3.91,0.52,0.12,0.17
A0520201,樣品基本資料,秈米粉：在來米粉,穀物類,"生,混合均勻(水磨在來米粉)",3.63,0.83,0.0,0.04
A0520301,樣品基本資料,糙米粉,穀物類,"生,混合均勻",3.93,0.78,0.03,0.11
A0520401,樣品基本資料,白糯米粉,穀物類,"生,混合均勻(水磨糯米粉)",3.6,0.82,0.0,0.04
A05501,樣品平均值,米粉平均值,穀物類,"生,混合多種類",3.66,0.85,0.0,0.02
A0550101,樣品基本資料,埔里米粉,穀物類,"生,混合均勻打碎(玉米,澱粉等)",3.58,0.87,0.0,0.0
A0550102,樣品基本資料,細米粉,穀物類,"生,混合均勻打碎(米,玉米澱粉等)",3.55,0.87,0.0,0.0
A0550103,樣品基本資料,濁水米粉,穀物類,"生,混合均勻打碎(濁水溪生產之在來1號白米等)",3.57,0.81,0.01,0.05
A0550201,樣品基本資料,米粄條：美濃粄條,穀物類,"熟,混合均勻打碎(在來米,修飾澱粉,地瓜粉,鹽,沙拉油等)",1.29,0.29,0.0,0.01
A0550301,樣品基本資料,米苔目,穀物類,"熟,混合均勻打碎",1.21,0.29,0.0,0.0
A0550401,樣品基本資料,粿仔條,穀物類,"熟,混合均勻打碎",1.93,0.45,0.01,0.0
A0550501,樣品基本資料,免煮飯,穀物類,"熟,速食白飯包,混合均勻打碎",1.68,0.37,0.0,0.03
A0550601,樣品基本資料,白飯,穀物類,"熟,白米加1.1倍的去離子水,用電鍋烹煮,混合均勻打碎",1.83,0.41,0.0,0.03
A0550701,樣品基本資料,米漿(散裝),穀物類,"散裝,混合均勻",0.62,0.13,0.0,0.0
A0550801,樣品基本資料,保久米漿,穀物類,"常溫包裝,混合均質(米,花生,水,砂糖等)",0.62,0.11,0.01,0.01
A0550901,樣品基本資料,糙米漿,穀物類,"冷藏瓶裝,混合均勻(糙米,花生,水,蔗糖,芝麻,鹽,食用膠等)",0.71,0.11,0.02,0.01
A0551001,樣品基本資料,糙秈米漿,穀物類,"冷藏瓶裝,混合均勻(糙米,花生,水,蔗糖,鹽,食用膠等)",0.68,0.11,0.02,0.0
A0551101,樣品基本資料,糯米漿,穀物類,"常溫罐裝,混合均勻(花生,米,糖,水等)",0.51,0.1,0.0,0.0
A0551201,樣品基本資料,黑糯米漿,穀物類,"常溫罐裝,混合均勻(黑糯米等)",0.5,0.11,0.0,0.0
A0600101,樣品基本資料,高梁,穀物類,"生,混合均勻磨碎",3.72,0.73,0.03,0.11
A0600201,樣品基本資料,糯高梁,穀物類,"生,混合均勻磨碎",3.62,0.75,0.01,0.1
A0710101,樣品基本資料,黑麥片,穀物類,"生,混合均勻打碎",3.59,0.77,0.01,0.07
A0750101,樣品基本資料,黑麥汁,穀物類,"罐裝,混合均勻(全穀黑麥,忽布花抽取物,葡萄糖,酵母,碳酸水,糖,檸檬酸鈉,維生素C等)",0.52,0.12,0.0,0.0
A0800101,樣品基本資料,燕麥,穀物類,"生,混合均勻打碎",4.06,0.67,0.1,0.1
A0810101,樣品基本資料,燕麥片,穀物類,"熟,快煮即食,混合均勻打碎",3.93,0.64,0.09,0.12
A0810201,樣品基本資料,即食燕麥片,穀物類,"熟,沖泡即食,混合均勻打碎",4.06,0.67,0.09,0.11
A0850101,樣品基本資料,燕麥奶,穀物類,"混合均勻(水,澳洲燕麥,奈米碳酸鈣等)",0.44,0.08,0.0,0.01
A0900101,樣品基本資料,蕎麥(甜蕎)：三角米,穀物類,"生,混合均勻磨碎",3.61,0.71,0.02,0.11
A0950101,樣品基本資料,蕎麥麵(乾),穀物類,"生,混合均勻磨碎(小麥粉,蕎麥粉,鹽,山藥,山芋粉,兒茶素,鹽,調味料等)",3.55,0.7,0.01,0.12
A0950102,樣品基本資料,蕎麥麵(濕),穀物類,"生,混合均勻打碎(小麥粉,蕎麥粉,樹薯澱粉,蛋白,鹽,植物油,調味料等)",1.55,0.28,0.01,0.06
A1000101,樣品基本資料,"薏仁：薏仁,薏苡仁",穀物類,"生,混合均勻磨碎",3.78,0.66,0.06,0.14
A1000201,樣品基本資料,糙薏仁：紅薏仁,穀物類,"生,混合均勻磨碎",3.87,0.65,0.07,0.13
A1020101,樣品基本資料,薏仁粉,穀物類,"熟,混合均勻",3.95,0.8,0.03,0.1
A1100101,樣品基本資料,紅藜,穀物類,"生,乾貨,混合均勻打碎",3.79,0.66,0.06,0.12
B0100101,樣品基本資料,"淮山：山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",澱粉類,"生,乾貨,混合均勻打碎",3.63,0.82,0.0,0.05
B01002,樣品平均值,"山藥平均值：山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",澱粉類,"生鮮,去皮,混合多品種",0.85,0.17,0.0,0.02
B0100201,樣品基本資料,"山藥(二刺)：山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",澱粉類,"生鮮,去皮,混合均勻打碎",0.89,0.18,0.0,0.02
B0100202,樣品基本資料,"山藥(大汕1號)：山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",澱粉類,"生鮮,去皮,混合均勻打碎",0.8,0.17,0.0,0.02
B0100203,樣品基本資料,"山藥(大汕3號)：山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",澱粉類,"生鮮,去皮,混合均勻打碎",0.73,0.15,0.0,0.02
B0100204,樣品基本資料,"山藥(大刺)：山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",澱粉類,"生鮮,去皮,混合均勻打碎",0.85,0.17,0.0,0.03
B0100205,樣品基本資料,"山藥(中國長品)：山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",澱粉類,"生鮮,去皮,混合均勻打碎",0.74,0.15,0.0,0.02
B0100206,樣品基本資料,"山藥(台農1號)：山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",澱粉類,"生鮮,去皮,混合均勻打碎",0.93,0.19,0.0,0.02
B0100207,樣品基本資料,"山藥(台農2號)：山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",澱粉類,"生鮮,去皮,混合均勻打碎",0.95,0.19,0.0,0.03
B0100208,樣品基本資料,"山藥(白皮削)：山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",澱粉類,"生鮮,去皮,混合均勻打碎",0.75,0.15,0.0,0.02
B0100209,樣品基本資料,"山藥(尖石原生種)：山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",澱粉類,"生鮮,去皮,混合均勻打碎",0.65,0.12,0.0,0.03
B0100210,樣品基本資料,"山藥(宜蘭原生種)：山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",澱粉類,"生鮮,去皮,混合均勻打碎",1.4,0.29,0.0,0.04
B0100211,樣品基本資料,"山藥(花蓮3號)：山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",澱粉類,"生鮮,去皮,混合均勻打碎",0.93,0.2,0.0,0.01
B0100212,樣品基本資料,"山藥(青森)：山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",澱粉類,"生鮮,去皮,混合均勻打碎",0.94,0.19,0.0,0.02
B0100213,樣品基本資料,"山藥(高田)：山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",澱粉類,"生鮮,去皮,混合均勻打碎",0.71,0.14,0.0,0.03
B0100214,樣品基本資料,山藥(白肉)：日本山藥,澱粉類,等量混合均質,0.69,0.14,0.0,0.02
B0200301,樣品基本資料,"紅薯：山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",澱粉類,"生鮮,去皮,混合均勻打碎",0.92,0.19,0.0,0.02
B0320101,樣品基本資料,木薯粉：樹薯粉,澱粉類,"生,混合均勻(樹薯澱粉)",3.62,0.87,0.0,0.0
B0400101,樣品基本資料,"冰心地瓜：甘薯,番薯,甜薯,地瓜,田薯,土薯,紅薯,過溝菜",澱粉類,"生鮮,白皮白肉,去皮,混合均勻打碎",1.19,0.27,0.0,0.01
B0400201,樣品基本資料,"菱角牛奶地瓜：甘薯,番薯,甜薯,地瓜,田薯,土薯,紅薯,過溝菜",澱粉類,"生鮮,白皮白肉,去皮,混合均勻打碎",1.33,0.29,0.0,0.01
B0400301,樣品基本資料,"芋心甘薯：甘薯,番薯,甜薯,地瓜,田薯,土薯,紅薯,過溝菜",澱粉類,"生鮮,芋心種,去皮,混合均勻打碎",1.22,0.28,0.0,0.01
B0400401,樣品基本資料,"紅肉甘薯：甘薯,番薯,甜薯,地瓜,田薯,土薯,紅薯,過溝菜",澱粉類,"生鮮,紅皮紅肉,去皮,混合均勻打碎",1.14,0.25,0.0,0.01
B0400501,樣品基本資料,"金時地瓜：甘薯,番薯,甜薯,地瓜,田薯,土薯,紅薯,過溝菜",澱粉類,"生鮮,紅皮黃肉,去皮,混合均勻打碎",1.38,0.31,0.0,0.01
B0400601,樣品基本資料,"黃肉甘薯：甘薯,番薯,甜薯,地瓜,田薯,土薯,紅薯,過溝菜",澱粉類,"生鮮,黃皮黃肉,去皮,混合均勻打碎",1.21,0.27,0.0,0.01
B0420101,樣品基本資料,"甘薯粉：甘薯粉,蕃薯粉,甜薯粉,地瓜粉",澱粉類,"生,混合均勻",3.58,0.85,0.0,0.01
B0450101,樣品基本資料,油炸脫水甘薯,澱粉類,"熟,混合均勻打碎",5.25,0.61,0.3,0.02
B0500101,樣品基本資料,"芋頭：芋頭,芋艿,芋乃,芋仔,青芋,土芝",澱粉類,"生鮮,去皮,混合均勻打碎",1.28,0.26,0.01,0.02
B0500201,樣品基本資料,"小芋頭(山芋)：芋頭,芋艿,芋乃,芋仔,青芋,土芝",澱粉類,"生鮮,去皮,混合均勻打碎",1.13,0.22,0.01,0.02
B0500301,樣品基本資料,"檳榔心芋：芋頭,芋艿,芋乃,芋仔,青芋,土芝",澱粉類,"生鮮,去皮,混合均勻打碎",1.21,0.28,0.0,0.01
B0500401,樣品基本資料,冷凍芋頭塊,澱粉類,"生,冷凍產品,混合均勻打碎",1.47,0.24,0.04,0.02
B0520101,樣品基本資料,芋頭粉,澱粉類,"生,混合均勻(香芋,乳糖等)",3.33,0.83,0.0,0.0
B0600101,樣品基本資料,"豆薯：刈薯,涼薯,葛薯,沙葛,地瓜,三角薯",澱粉類,"生鮮,去皮,混合均勻打碎",0.31,0.06,0.0,0.0
B0700101,樣品基本資料,"紅馬鈴薯(粉紅珍珠馬鈴薯)：洋芋,洋薯,洋山芋,荷蘭薯,日本番薯,塊茄",澱粉類,"生鮮,紅皮種,去皮,混合均勻打碎",0.66,0.14,0.0,0.01
B0700201,樣品基本資料,"馬鈴薯：洋芋,洋薯,洋山芋,荷蘭薯,日本番薯,塊茄",澱粉類,"生鮮,黃皮種,去皮,混合均勻打碎",0.77,0.15,0.0,0.02
B0700301,樣品基本資料,"小馬鈴薯(珍珠馬鈴薯)：洋芋,洋薯,洋山芋,荷蘭薯,日本番薯,塊茄",澱粉類,"生鮮,黃皮種,去皮,混合均勻打碎",0.59,0.12,0.0,0.01
B0720101,樣品基本資料,馬鈴薯粉：太白粉,澱粉類,"生,混合均勻",3.46,0.83,0.0,0.0
B0800101,樣品基本資料,"荸薺：水栗,地栗,馬蹄,馬薯,烏芋,水燈心草,海蔥仔,水蔥仔",澱粉類,"生鮮,去皮,混合均勻打碎",0.67,0.14,0.0,0.01
B0820101,樣品基本資料,"荸薺粉：水栗粉,地栗粉,馬蹄粉,馬薯粉,烏芋粉,水燈心草粉,海蔥仔粉,水蔥仔粉",澱粉類,"生,混合均勻",3.65,0.87,0.0,0.0
B0900101,樣品基本資料,"蓮藕：蓮根,藕,芙蕖,荷花藕",澱粉類,"生鮮,去皮,混合均勻打碎",0.65,0.13,0.0,0.02
B0900201,樣品基本資料,"熟蓮藕：蓮根,藕,芙蕖,荷花藕",澱粉類,"熟,浸泡水中,去藕節,混合均勻打碎(購買時已去皮)",0.5,0.11,0.0,0.01
B0900202,樣品基本資料,"熟蓮藕切片(水煮)：蓮根,藕,芙蕖,荷花藕",澱粉類,"熟,混合均勻打碎(蓮藕,檸檬酸等)",0.73,0.16,0.0,0.0
B0920101,樣品基本資料,蓮藕粉,澱粉類,"生(蓮藕,馬鈴薯澱粉等)",3.65,0.88,0.0,0.0
B1000101,樣品基本資料,"菱角(生)：菱,芰,龍角,羊家,紅菱",澱粉類,"生,去殼,混合均勻打碎",0.76,0.16,0.0,0.01
B1000201,樣品基本資料,菱角仁(生),澱粉類,"生,混合均勻打碎",1.18,0.24,0.0,0.04
B1000301,樣品基本資料,"菱角(熟)：菱,芰,龍角,羊家,紅菱",澱粉類,"熟,去殼,混合均勻打碎",1.46,0.31,0.0,0.04
B9900101,樣品基本資料,西谷米,澱粉類,"生,混合均勻磨碎",3.71,0.89,0.0,0.0
B9900201,樣品基本資料,蒟蒻粉,澱粉類,"混合均勻(蒟蒻抽出物,海藻抽出物,葡萄糖,檸檬酸鉀等)",3.51,0.87,0.0,0.0
B9930101,樣品基本資料,粉粿,澱粉類,等量混合均質,0.65,0.15,0.0,0.0
C0105101,樣品基本資料,杏仁片(生),堅果及種子類,"生,混合均勻打碎",5.64,0.17,0.47,0.27
C0110101,樣品基本資料,杏仁片(熟),堅果及種子類,"熟,混合均勻打碎",6.18,0.14,0.56,0.23
C0110201,樣品基本資料,原味杏仁果,堅果及種子類,"熟,混合均勻打碎",5.88,0.23,0.49,0.21
C0110202,樣品基本資料,蒜味杏仁果,堅果及種子類,"熟,混合均勻打碎(杏仁,鹽,蒜粉,植物油等)",6.03,0.18,0.53,0.23
C0120101,樣品基本資料,杏仁粉,堅果及種子類,"熟(烤),混合均勻",5.3,0.47,0.36,0.09
C0205101,樣品基本資料,松子仁(生),堅果及種子類,"生,混合均勻打碎",6.78,0.09,0.69,0.16
C0210101,樣品基本資料,原味松子仁,堅果及種子類,"熟,混合均勻打碎",6.8,0.13,0.69,0.14
C0210102,樣品基本資料,蜜汁松子仁,堅果及種子類,"熟,混合均勻打碎(松子仁,果糖,鹽等)",6.97,0.19,0.62,0.14
C0310101,樣品基本資料,原味夏威夷豆：夏威夷火山豆,堅果及種子類,"熟,混合均勻打碎",7.0,0.18,0.71,0.07
C0310102,樣品基本資料,鹽酥夏威夷豆：夏威夷火山豆,堅果及種子類,"熟,混合均勻打碎(夏威夷豆,鹽等)",7.2,0.12,0.76,0.09
C0405101,樣品基本資料,生核桃,堅果及種子類,"生,混合均勻打碎",6.67,0.11,0.67,0.15
C0410101,樣品基本資料,甜核桃,堅果及種子類,"熟,混合均勻打碎(核桃,糖,麥芽糖精等)",7.23,0.14,0.67,0.14
C0500101,樣品基本資料,栗子(生),堅果及種子類,"生,去殼,混合均勻打碎",2.64,0.57,0.01,0.04
C0500202,樣品基本資料,栗子仁(生),堅果及種子類,"生,混合均勻打碎",1.76,0.38,0.0,0.03
C0510101,樣品基本資料,糖炒栗子,堅果及種子類,"熟,以砂糖炒煮三十分鐘後去殼,混合均勻打碎",2.1,0.46,0.0,0.04
C0610101,樣品基本資料,無花果,堅果及種子類,"熟,混合均勻打碎",3.65,0.77,0.04,0.03
C0710101,樣品基本資料,開心果,堅果及種子類,"熟,去殼,混合均勻打碎",6.01,0.2,0.52,0.22
C0805101,樣品基本資料,腰果(生),堅果及種子類,"生,混合均勻打碎",5.68,0.3,0.45,0.18
C0810101,樣品基本資料,原味腰果,堅果及種子類,"熟,混合均勻打碎",5.66,0.35,0.43,0.16
C0810102,樣品基本資料,蜜汁腰果,堅果及種子類,"熟,混合均勻打碎(腰果,蜂蜜等)",6.0,0.34,0.43,0.17
C0905101,樣品基本資料,原味榛果,堅果及種子類,"熟,混合均勻打碎",6.72,0.17,0.66,0.13
C1005101,樣品基本資料,山粉圓,堅果及種子類,"生,數包混合均勻磨碎",4.0,0.58,0.12,0.16
C1120101,樣品基本資料,可可粉,堅果及種子類,"罐裝,混合均勻",4.64,0.43,0.22,0.2
C1210101,樣品基本資料,玉桂西瓜子,堅果及種子類,"熟,去殼,混合均勻打碎(西瓜子,玉桂等)",4.92,0.23,0.34,0.31
